Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
The	Eng	O	60.83	27.05	-0.8	60.03
list	Eng	O	43.05	19.46	-0.8	42.25
is	Eng	O	44.66	21.08	-0.8	43.86
rather	Eng	O	52.97	25.77	-0.8	52.17
voluptuously	Eng	O	28.73	10.3	-0.8	27.93
extensive	Eng	O	55.01	33.91	-0.8	54.21
"	Punct	O	N/A	N/A	N/A	N/A
de	Spn	O	26.21	47.06	-2.38	44.68
la	Spn	O	18.68	44.74	-1.01	43.730000000000004
gente	Spn	O	26.04	49.95	-1.01	48.940000000000005
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
me	Spn	O	41.15	43.0	-1.01	41.99
ha	Spn	O	24.83	37.04	-1.01	36.03
brindado	Spn	O	27.2	45.89	-1.01	44.88
su	Spn	O	14.41	35.66	-1.01	34.65
apoyo	Spn	O	13.42	30.82	-1.01	29.81
"	Punct	O	N/A	N/A	N/A	N/A
who	Eng	O	43.84	15.11	-2.38	41.46
have	Eng	O	60.11	28.54	-0.8	59.31
told	Eng	O	46.04	18.64	-0.8	45.24
me	Eng	O	41.15	43.0	-0.8	40.35
"	Punct	O	N/A	N/A	N/A	N/A
over	Eng	O	48.52	24.85	-0.8	47.720000000000006
the	Eng	O	60.83	27.05	-0.8	60.03
past	Eng	O	43.16	23.5	-0.8	42.36
three	Eng	O	58.04	24.57	-0.8	57.24
years	Eng	O	60.3	9.69	-0.8	59.5
or	Eng	O	41.56	23.53	-0.8	40.760000000000005
so	Eng	O	43.57	28.06	-0.8	42.77
:	Punct	O	N/A	N/A	N/A	N/A
go	Eng	O	39.77	24.21	-0.8	38.970000000000006
for	Eng	O	47.94	28.79	-0.8	47.14
it	Eng	O/MISC	50.11	11.76	-0.8	49.31
"	Punct	O	N/A	N/A	N/A	N/A
estaes	Spn	O	22.26	39.49	-2.38	37.11
tu	Spn	O	14.03	32.67	-1.01	31.66
voz	Spn	O	4.31	27.24	-1.01	26.229999999999997
.	Punct	O	N/A	N/A	N/A	N/A
For	Eng	O	47.94	28.79	-2.38	45.559999999999995
their	Eng	O	61.66	20.15	-0.8	60.86
incisive	Eng	O	40.95	25.56	-0.8	40.150000000000006
critiques	Spn	O	30.92	40.59	-2.38	38.21
"	Punct	O	N/A	N/A	N/A	N/A
their	Eng	O	61.66	20.15	-2.38	59.279999999999994
questions	Eng	O	56.63	34.2	-0.8	55.830000000000005
and	Eng	O	58.08	26.56	-0.8	57.28
their	Eng	O	61.66	20.15	-0.8	60.86
encouragement	Eng	O	59.27	14.68	-0.8	58.470000000000006
"	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O/MISC	42.31	11.38	-0.8	41.510000000000005
am	Eng	O/MISC	30.77	12.36	-0.8	29.97
deeply	Eng	O	30.44	13.89	-0.8	29.64
grateful	Eng	O	35.96	15.98	-0.8	35.160000000000004
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
the	Eng	O	60.83	27.05	-0.8	60.03
following	Eng	O	59.12	11.0	-0.8	58.32
friends	Eng	O	55.7	24.45	-0.8	54.900000000000006
and	Eng	O	58.08	26.56	-0.8	57.28
colleagues	Eng	O	46.02	30.91	-0.8	45.220000000000006
:	Punct	O	N/A	N/A	N/A	N/A
Jack	Eng	PERSON/PERSON	30.29	9.98	-0.8	29.49
Abecassis	Eng	PERSON/PERSON	20.14	14.03	-0.8	19.34
"	Punct	O	N/A	N/A	N/A	N/A
Frances	Eng	PERSON/PERSON	43.76	45.9	-0.8	42.96
R	Eng	PERSON/PERSON	12.78	8.87	-0.8	11.979999999999999
.	Punct	O	N/A	N/A	N/A	N/A
Aparicio	Spn	PERSON/PERSON	17.55	42.74	-2.38	40.36
"	Punct	O	N/A	N/A	N/A	N/A
Samuel	Spn	PERSON/PERSON	24.96	26.87	-1.01	25.86
G	Eng	PERSON/PERSON	11.54	6.89	-2.38	9.16
.	Punct	O	N/A	N/A	N/A	N/A
Armistead	Eng	PERSON/PERSON	32.93	23.25	-0.8	32.13
"	Punct	O	N/A	N/A	N/A	N/A
Alicia	Spn	PERSON/PERSON	18.99	35.2	-2.38	32.82
Arrizón	Spn	PERSON/PERSON	11.93	31.89	-1.01	30.88
"	Punct	O	N/A	N/A	N/A	N/A
Diana	Spn	PERSON/PERSON	30.36	38.15	-1.01	37.14
Bellessi	Spn	PERSON/PERSON	12.87	18.77	-1.01	17.759999999999998
"	Punct	O	N/A	N/A	N/A	N/A
Emilie	Eng	PERSON/PERSON	21.87	19.9	-2.38	19.490000000000002
Bergmann	Eng	PERSON/PERSON	9.16	7.42	-0.8	8.36
"	Punct	O	N/A	N/A	N/A	N/A
Ksenija	Spn	PERSON/MISC	1.0	7.69	-2.38	5.3100000000000005
Bilbija	Spn	PERSON/MISC	12.96	23.09	-1.01	22.08
